ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test,AUC_overfitting,Qini_overfitting,
50,0.9,10,NA,0.942,0.673,0.085,0.002,0.269,0.083,
50,0.9,12,NA,0.943,0.663,0.087,0.003,0.280,0.084,
100,0.1,5,NA,0.735,0.666,0.027,0.000,0.069,0.027,
100,0.1,7,NA,0.731,0.648,0.021,-0.004,0.083,0.025,
100,0.1,9,NA,0.742,0.672,0.021,0.002,0.070,0.019,
100,0.1,10,NA,0.737,0.682,0.017,-0.002,0.055,0.019,
100,0.1,12,NA,0.734,0.683,0.018,0.003,0.051,0.015,
100,0.3,5,NA,0.813,0.672,0.046,0.001,0.141,0.045,
100,0.3,7,NA,0.825,0.672,0.049,0.005,0.153,0.044,
100,0.3,9,NA,0.824,0.684,0.051,0.000,0.140,0.051,
100,0.3,10,NA,0.839,0.679,0.058,0.001,0.160,0.057,
100,0.3,12,NA,0.841,0.668,0.053,0.002,0.173,0.051,
100,0.5,5,NA,0.871,0.676,0.059,0.000,0.195,0.059,
100,0.5,7,NA,0.879,0.688,0.066,0.002,0.191,0.064,
100,0.5,9,NA,0.886,0.683,0.067,0.003,0.203,0.064,
100,0.5,10,NA,0.892,0.688,0.069,0.005,0.204,0.064,
100,0.5,12,NA,0.885,0.667,0.065,-0.001,0.218,0.066,
100,0.7,5,NA,0.906,0.683,0.077,0.001,0.223,0.076,
100,0.7,7,NA,0.916,0.676,0.080,0.001,0.240,0.079,
100,0.7,9,NA,0.915,0.679,0.077,0.001,0.236,0.076,
100,0.7,10,NA,0.926,0.660,0.079,-0.002,0.266,0.081,
100,0.7,12,NA,0.927,0.667,0.082,0.000,0.260,0.082,
100,0.9,5,NA,0.934,0.680,0.087,0.004,0.254,0.083,
100,0.9,7,NA,0.940,0.681,0.089,0.001,0.259,0.088,
100,0.9,9,NA,0.944,0.674,0.087,0.000,0.270,0.087,
100,0.9,10,NA,0.946,0.683,0.088,0.005,0.263,0.083,
100,0.9,12,NA,0.952,0.669,0.088,0.003,0.283,0.085,
300,0.1,5,NA,0.749,0.680,0.026,-0.002,0.069,0.028,
300,0.1,7,NA,0.753,0.665,0.027,-0.004,0.088,0.031,
300,0.1,9,NA,0.752,0.678,0.026,-0.002,0.074,0.028,
300,0.1,10,NA,0.757,0.677,0.025,0.002,0.080,0.023,
300,0.1,12,NA,0.754,0.692,0.023,0.002,0.062,0.021,
300,0.3,5,NA,0.820,0.678,0.046,0.001,0.142,0.045,
300,0.3,7,NA,0.838,0.685,0.053,0.003,0.153,0.050,
300,0.3,9,NA,0.840,0.686,0.055,0.001,0.154,0.054,
300,0.3,10,NA,0.845,0.680,0.054,0.001,0.165,0.053,
300,0.3,12,NA,0.848,0.678,0.055,0.003,0.170,0.052,
300,0.5,5,NA,0.874,0.691,0.065,0.004,0.183,0.061,
300,0.5,7,NA,0.886,0.686,0.069,0.002,0.200,0.067,
300,0.5,9,NA,0.894,0.687,0.070,0.004,0.207,0.066,
300,0.5,10,NA,0.898,0.686,0.073,0.002,0.212,0.071,
300,0.5,12,NA,0.899,0.675,0.075,0.002,0.224,0.073,
300,0.7,5,NA,0.910,0.685,0.079,0.002,0.225,0.077,
300,0.7,7,NA,0.919,0.679,0.081,0.001,0.240,0.080,
300,0.7,9,NA,0.923,0.679,0.082,0.001,0.244,0.081,
300,0.7,10,NA,0.929,0.672,0.081,0.001,0.257,0.080,
300,0.7,12,NA,0.931,0.669,0.082,0.000,0.262,0.082,
300,0.9,5,NA,0.936,0.683,0.087,0.002,0.253,0.085,
300,0.9,7,NA,0.942,0.680,0.089,0.001,0.262,0.088,
300,0.9,9,NA,0.950,0.678,0.089,0.002,0.272,0.087,
300,0.9,10,NA,0.951,0.681,0.090,0.002,0.270,0.088,
300,0.9,12,NA,0.954,0.669,0.090,0.002,0.285,0.088,
500,0.1,5,NA,0.751,0.684,0.031,-0.003,0.067,0.034,
500,0.1,7,NA,0.756,0.672,0.026,-0.003,0.084,0.029,
500,0.1,9,NA,0.756,0.673,0.026,-0.002,0.083,0.028,
500,0.1,10,NA,0.754,0.686,0.026,0.001,0.068,0.025,
500,0.1,12,NA,0.756,0.687,0.023,0.000,0.069,0.023,
500,0.3,5,NA,0.823,0.685,0.050,0.003,0.138,0.047,
500,0.3,7,NA,0.839,0.687,0.054,0.002,0.152,0.052,
500,0.3,9,NA,0.844,0.687,0.056,0.001,0.157,0.055,
500,0.3,10,NA,0.847,0.676,0.056,0.001,0.171,0.055,
500,0.3,12,NA,0.850,0.684,0.055,0.002,0.166,0.053,
500,0.5,5,NA,0.876,0.693,0.070,0.003,0.183,0.067,
500,0.5,7,NA,0.886,0.684,0.071,0.001,0.202,0.070,
500,0.5,9,NA,0.894,0.683,0.071,0.002,0.211,0.069,
500,0.5,10,NA,0.898,0.685,0.074,0.003,0.213,0.071,
500,0.5,12,NA,0.900,0.682,0.074,0.002,0.218,0.072,
500,0.7,5,NA,0.910,0.690,0.080,0.002,0.220,0.078,
500,0.7,7,NA,0.921,0.680,0.082,0.000,0.241,0.082,
500,0.7,9,NA,0.925,0.679,0.083,0.001,0.246,0.082,
500,0.7,10,NA,0.930,0.676,0.083,0.001,0.254,0.082,
500,0.7,12,NA,0.935,0.670,0.084,0.000,0.265,0.084,
500,0.9,5,NA,0.934,0.687,0.088,0.003,0.247,0.085,
500,0.9,7,NA,0.943,0.680,0.089,0.003,0.263,0.086,
500,0.9,9,NA,0.950,0.678,0.090,0.001,0.272,0.089,
500,0.9,10,NA,0.951,0.681,0.090,0.002,0.270,0.088,
500,0.9,12,NA,0.955,0.669,0.090,0.002,0.286,0.088,
