,cor,
pre_rx11_interact,-0.00936014309826171,0.58822823953795
pre_comor1_interact,0.0313317011440037,0.0698812023848414
pre_comor2_interact,0.0599024306800267,0.000524564461272803
pre_comor3_interact,0.0352868846222694,0.0411872840132959
pre_comor4_interact,0.0506183928569042,0.00339332004700132
pre_comor5_interact,0.0320373306923946,0.0638072165850765
pre_comor6_interact,0.0502800591261209,0.0036136607459003
pre_comor7_interact,0.0442222321359617,0.0104949902398714
pre_comor8_interact,0.0294699811943993,0.0882088307153901
pre_comor9_interact,-0.00368289089013785,0.831311185248026
pre_comor10_interact,0.0279795693739781,0.105519684838476
pre_comor11_interact,-0.00103758061585013,0.952144494073805
pre_comor12_interact,0.0555704461036521,0.00129675563273191
pre_comor13_interact,0.033038132363722,0.0559458535321633
pre_comor14_interact,0.0357946727780976,0.0383552284186237
pre_comor15_interact,0.0441504890978961,0.0106211220862384
pre_comor16_interact,0.044891778091441,0.00938057857589425
pre_comor17_interact,0.0221319168900382,0.200448976779831
pre_comor19_interact,-0.0162219426314863,0.34806779397338
pre_comor20_interact,-0.00951999785531889,0.581872263847553
pre_comor22_interact,-0.00799374997054463,0.643817253307876
pre_comor23_interact,0.0470959454623578,0.00641933127206396
pre_comor24_interact,0.00904329035048495,0.600920460928822
pre_comor25_interact,-0.00285721229088193,0.86873749418117
pre_comor26_interact,0.000918077260795452,0.957650738914622
