Covariate,Gilenya_relapse,Gilenya_not_relapse,Gilenya_relapse_rate,Tecfidera_relapse,Tecfidera_not_relapse,Tecfidera_relapse_rate,odds_ratio,p_value
num_pre_meds_2,38,519,0.0682226211849192,47,461,0.0925196850393701,0.718386445292001,0.174083382263379
num_pre_meds_3,58,362,0.138095238095238,69,344,0.167070217917676,0.79900158783224,0.24922351715558
num_pre_meds_4,89,334,0.210401891252955,91,368,0.198257080610022,1.07748185430199,0.676386308812325
num_pre_op_dx_1,9,224,0.0386266094420601,31,371,0.0771144278606965,0.481345746876276,0.0622954019885917
num_pre_op_dx_2,22,407,0.0512820512820513,50,396,0.112107623318386,0.428505472618466,0.00125480524967792
num_pre_op_dx_3,70,460,0.132075471698113,65,368,0.150115473441109,0.861674697627954,0.455780434255478
num_pre_op_dx_4,96,386,0.199170124481328,85,308,0.216284987277354,0.901297188391328,0.55749324095871
pre_non_ms_total_allowed_1,24,383,0.058968058968059,40,390,0.0930232558139535,0.611324293090605,0.0691338536905415
pre_non_ms_total_allowed_2,37,397,0.0852534562211982,51,352,0.126550868486352,0.64360288940855,0.0556056551656758
pre_non_ms_total_allowed_3,58,382,0.131818181818182,62,335,0.156171284634761,0.820582852391807,0.324895569739332
pre_non_ms_total_allowed_4,78,315,0.198473282442748,78,366,0.175675675675676,1.16169320202874,0.4239657122361
pre_ms_total_allowed_1,34,370,0.0841584158415842,48,385,0.110854503464203,0.737319459117394,0.202609522415574
pre_ms_total_allowed_2,59,439,0.118473895582329,55,284,0.162241887905605,0.694302345750372,0.0808131725762727
pre_ms_total_allowed_3,61,425,0.125514403292181,47,304,0.133903133903134,0.928443792962384,0.754355533155005
pre_ms_total_allowed_4,43,243,0.15034965034965,81,470,0.147005444646098,1.02676122806058,0.918443827949562
pre_non_ms_pharmacy_allowed_1,28,358,0.0725388601036269,37,414,0.082039911308204,0.875271292777734,0.697849713273768
pre_non_ms_pharmacy_allowed_2,43,398,0.0975056689342404,62,334,0.156565656565657,0.582410663160473,0.0119309725324623
pre_non_ms_pharmacy_allowed_3,54,372,0.126760563380282,67,344,0.16301703163017,0.745572907271835,0.141400879713319
